sku,mpid
VMKFSS5521-6,176819
VMKFSS5525-6,176831
VMKFSS5531-6,176827
VMKFSS6021-6,176820
VMKFSS6025-6,176828
VMKFSS6031-6,176832
VMKFSS7021-6,176821
VMKFSS7025-6,176829
VMKFSS7031-6,176833
VMKFSS8021-6,176807
VMKFSS8025-6,176808
VMKFSS8031-6,176809
VMKSX250,176635
VMKSX250X2,193507
VMLB18GP100,183662
VMLCBKL40G10,180051
VMLCBKL40G10X5,193540
VMLCBKM40G10,180050
VMLCBKM40G10X5,193539
VMLCBKS40G10,180053
VMLCBKS40G10X5,193538
VMLCBKXL40G10,180052
VMLCBKXL40G10X5,193541
VMLCBL45G10,177274
VMLCBL45G10X5,177275
VMLCBM45G10,177287
VMLCBM45G10X5,177288
VMLCBS45G10,177297
VMLCBS45G10X5,177286
VMLCBXL45G10,177276
VMLCBXL45G10X5,177243
VMLCPL45G10,177277
VMLCPL45G10X5,177293
VMLCPM45G10,177289
VMLCPM45G10X5,177292
VMLCPRL45G10,193542
VMLCPRL45G10X5,193547
VMLCPRM45G10,193544
VMLCPRM45G10X5,193546
VMLCPRS45G10,193543
VMLCPRS45G10X5,193545
VMLCPRXL45G10,193549
VMLCPRXL45G10X5,193550
VMLCPS45G10,177298
VMLCPS45G10X5,177291
VMLCPXL45G10,193548
VMLCPXL45G10X5,177294
VMLJBL45G10X5,193554
VMLJBL45G10,177270
VMLJBM45G10X5,193553
VMLJBM45G10,177283
VMLJBS45G10,193551
VMLJBS45G10X5,193552
VMLJBS45G10,193551
VMLJBXL45G10X5,193555
VMLJBXL45G10,177250
VMLJPL45G10X5,193557
VMLJPL45G10,177273
VMLJPM45G10X5,193556
VMLJPM45G10,177285
VMLJPRL45G10,193562
VMLJPRL45G10X5,193566
VMLJPRM45G10,193561
VMLJPRM45G10X5,193565
VMLJPRS45G10,193560
VMLJPRS45G10X5,193564
VMLJPRXL45G10,193563
VMLJPRXL45G10X5,193567
VMLJPS45G10X5,193558
VMLJPS45G10,177295
VMLJPXL45G10X5,193559
VMLJPXL45G10,177252
VMMABLRG400,177333
VMMABLRG400X2,180040
VMMAGRFN400,177332
VMMAGRFN400X2,180041
VMMAPPUF400,177306
VMMAPPUF400X2,180042
VMMAWTCY400,183666
VMMB4DSP,177513
VMMB4DSPX2,180054
VMMBBL1,183602
VMMBBM1,183604
VMMBBS1,183603
VMMP7X12X50,176754
VMMP7X7X50,176753
VMMSB01,183598
VMMSKIL3B50,189028
VMMSKIL3B50,189028
VMMSKIL3P50,176624
VMMSKIL3P50X40,180038
VMMSKSGB50L2,176621
VMMSP01,183599
VMMSW01,183600
VMMSY01,183601
VMMT42Y1:1X50,183769
VMMT5P1:1X50,183772
VMMT6.5TB1:1X50,183773
VMMT7005PR50,189035
VMMT76BO10:1X50,183774
VMMT76BW1:1X50,183775
VMMTBB1:1RS50,183777
VMMTBW1:1CM50,183778
VMMTBW1:1CR50,183779
VMMTBW1:1EN50,183780
VMMTRPX50,183781
VMOWX2500,183782
VMPAHRDP100,176770
VMPASFTB100,176771
VMPATAPB100,176764
VMPCH225X4200,177245
VMPCH225X4200X5,193568
VMPCH225X4200X50,193573
VMPCH275X9200,177257
VMPCH275X9200X20,193575
VMPCH275X9200X5,193569
VMPCH35X10200,177247
VMPCH35X10200X20,193576
VMPCH35X10200X5,193570
VMPCH35X525X200,177246
VMPCH35X525X200X40,193574
VMPCH35X525X200X5,193571
VMPCH525X10200,177248
VMPCH525X10200X10,193577
VMPCH525X10200X5,193572
VMPHN27GL100,177259
VMPHN27GL100X2,180045
VMPHN27GL100X50,177260
VMPHN30GS100,177278
VMPHN30GS100X2,180043
VMPHN30GS100X50,177261
VMPHN30GXS100,177262
VMPIOIY100,183686
VMPPT1KB-B,176618
VMPPT1KB-BK,183583
VMPPT1KB-G,183582
VMPPT1KB-L,176619
VMPPT1KB-P,176620
VMPPT1KB-W,193591
VMPPT1KB-Y,193592
VMPPTBMX100,189036
VMPPTBMX100X2,193579
VMRFSAF10,176767
VMRFSAF10X2,180046
VMSC19GBK100,193578
VMSC19GBK50,189038
VMSC19GY100,183687
VMSC19GY50,189037
VMSC20GY100,183663
VMSC22GB100,183664
VMSCWTM10,183786
VMSDBIB100B7,193580
VMSDBIB100BK7,193586
VMSDBIB100G7,193582
VMSDBIB100P7,193581
VMSDBIB100PR7,193583
VMSDBIB125B7,193588
VMSDBIB125BK7,193605
VMSDBIB125G7,193603
VMSDBIB125P7,193602
VMSDBIB125PR7,193604
VMSDBIB500B,176616
VMSDBIB500B7,193607
VMSDBIB500BK7,183584
VMSDBIB500G7,183585
VMSDBIB500P,176617
VMSDBIB500P7,193606
VMSDBIB500PR7,183586
VMSDBIB50B7,189039
VMSDBIB50BK7,189045
VMSDBIB50G7,189043
VMSDBIB50P7,189042
VMSDBIB50PR7,189044
VMSDMKB25,189046
VMSDMKB25B,176628
VMSEMXC100,176773
VMSEMXC100X20,180047
VMSEMXC100X3,180048
VMSGAFR,176772
VMSGAFR1,189047
VMSHCA50,189048
VMSHOPP100A,177308
VMSHWB100,177307
VMSMMSBSTR1212X100,183633
VMSMMSBSTR1212X100X5,193598
VMSMMSBSTR1515X100,183634
VMSMMSBSTR1515X100X5,193599
VMSMMSBSTR2020X100,183635
VMSMMSBSTR2020X100X5,193600
VMSMMSBSTR2424X100,183636
VMSMMSBSTR2424X100X5,193601
VMSS212X10X500,177305
VMSSAT20,189049
VMSSB10X100,176756
VMSSB11X100,176757
VMSSB12BX100,183688
VMSSB12SCX10,189050
VMSSB12X100,176758
VMSSB15CX100,183689
VMSSB15SCX10,189051
VMSSB15X100,176759
VMSSB20X100,176760
VMSSB21X100,176761
VMSSB22X100,176762
VMSSB23X100,176763
VMTYCV50014,176629
VMVBMS45CPX50,189053
VMVBMS45SOX50,189055
VMVBMS6CGX50,189052
VMVBMS6SBX50,189054
VMVHVEMC100,183654
VMVHVEW100,176755
VMWDBL152014,177503
VMWDGN151514,177496
VMWDNTNGDPSR100,189057
VMWDOG131513,177501
VMWDPK152016,177507
VMWDWT151514,177495
VMWDYL151516,177505
VMWPW01,189056
VMXB00X100,183783
VMXB01X100,183784
VMXB02X100,183785
VMXRPS01,189040
