sku,mpid,veeqo_qty,last_sent_qty,update_needed,status,message,last_run_time
VMAPP45200,177330,83,83,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPP50200,177238,120,120,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPP55200,177331,197,197,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPP60200,177239,34,34,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPP70200,177240,217,217,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPP80200,177241,184,184,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPPMIX200,177233,50,50,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMAPTKB15X12,189007,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPTKB15X12,189007,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPTKB15X12X5,180335,3,3,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPTKBR12X12,189009,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPTKBR12X12,189009,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPTKBR12X12X5,180336,2,2,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMAPTKR15X12,183764,14,14,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPTNB20X12,189010,0,0,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMAPTNB20X12X5,180337,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPTNB20X12,189010,0,0,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMAPTNR20X12,189011,92,92,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMAPTNR20X12X5,180338,6,6,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAPTNR20X12,189011,92,92,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMASPB25,189006,746,746,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMASPG25,176765,492,492,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMASPW25,176766,485,485,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAWSM250,177236,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VMAWSPMC250,177235,45,45,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAWSSSMC250,189013,362,362,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMAWSW250,183767,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMBFB12K4X6,177301,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMBFB12K4X6X8,177309,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMBFBK12K4X6,183637,1,1,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMBFC12K4X6,183640,5,5,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMBFG12K4X6,183641,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMBFP12K4X6,183638,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMBFPR12K4X6,183639,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMBIBHLD250,189008,219,219,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMBW2CH15,183768,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMC24CSS500,183680,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMC2724HC225,183676,48,48,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMC2980FC125,183677,49,49,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMC802MSS500,180333,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMC802MSS500X3,180334,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMC82CSS500,180331,33,33,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMC82CSS500X3,180332,7,7,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCAPB35GB50,183681,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCAPB35GB50X20,193508,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCAPB35GB50X3,193509,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCAPNWB100,177266,258,258,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCAPNWBK100,193510,0,0,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCAPNWP100,193511,158,158,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCAPNWWH100,193512,262,262,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCATBB01,189015,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCATBP01,189017,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
